127.0.0.1 - - [18/Oct/2015:11:33:30 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:00 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 5197
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:00 +0800] "GET /myblog/jsp/nav/css/nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:00 +0800] "GET /myblog/image/journalheader/11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:00 +0800] "GET /myblog/jsp/nav/css/news.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:00 +0800] "GET /myblog/image/journalheader/13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:00 +0800] "GET /myblog/jsp/nav/img/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:00 +0800] "GET /myblog/jsp/nav/img/newsbg04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:00 +0800] "GET /myblog/jsp/nav/img/newsbg03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:00 +0800] "GET /myblog/jsp/nav/img/newsbg02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:00 +0800] "GET /myblog/jsp/nav/img/newsbg01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:01 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:02 +0800] "GET /myblog/jsp//login/login.jsp HTTP/1.1" 200 3839
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:02 +0800] "GET /myblog/jsp//login/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:02 +0800] "GET /myblog/jsp//login/css/supersized.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:02 +0800] "GET /myblog/jsp//login/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:02 +0800] "GET /myblog/jsp//login/js/supersized.3.2.7.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:02 +0800] "GET /myblog/jsp//login/js/supersized-init.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:02 +0800] "GET /myblog/jsp//login/img/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:02 +0800] "GET /myblog/jsp//login/img/progress.gif HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:02 +0800] "GET /myblog/jsp//login/img/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:02 +0800] "GET /myblog/jsp//login/img/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:05 +0800] "POST /myblog/LoginDo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:05 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 5200
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:06 +0800] "GET /myblog/jsp/back/back_login.jsp HTTP/1.1" 200 3600
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:06 +0800] "GET /myblog/jsp/back/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:06 +0800] "GET /myblog/jsp/back/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:06 +0800] "GET /myblog/jsp/back/css/bootstrap-admin-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:06 +0800] "GET /myblog/jsp/back/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:07 +0800] "POST /myblog/AdminSessionDo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:07 +0800] "GET /myblog/jsp/back/back_index.jsp HTTP/1.1" 200 10762
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:07 +0800] "GET /myblog/jsp/back/js/twitter-bootstrap-hover-dropdown.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:07 +0800] "GET /myblog/jsp/back/vendors/easypiechart/jquery.easy-pie-chart.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:07 +0800] "GET /myblog/jsp/back/vendors/easypiechart/jquery.easy-pie-chart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:07 +0800] "GET /myblog/jsp/back/vendors/easypiechart/jquery.easy-pie-chart_custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:07 +0800] "GET /myblog/jsp/back/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:09 +0800] "GET /myblog/jsp/back/back_journal_admin.jsp HTTP/1.1" 200 11789
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:09 +0800] "GET /myblog/jsp/back/css/back_journal_admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:09 +0800] "GET /myblog/jsp/back/js/DT_bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:09 +0800] "GET /myblog/jsp/back/vendors/datatables/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:16 +0800] "GET /myblog/JournalEditOrDelete?id=1&do=edit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:16 +0800] "GET /myblog/jsp/back/back_journal_edit.jsp?id=1 HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:16 +0800] "GET /myblog/jsp/back/css/back_journal_release.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:19 +0800] "GET /myblog/jsp/back/back_journal_admin.jsp HTTP/1.1" 200 11789
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:22 +0800] "GET /myblog/JournalEditOrDelete?id=1&do=delete HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:22 +0800] "GET /myblog/jsp/back/back_journal_admin.jsp HTTP/1.1" 200 10212
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:24 +0800] "GET /myblog/JournalEditOrDelete?id=2&do=delete HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:24 +0800] "GET /myblog/jsp/back/back_journal_admin.jsp HTTP/1.1" 200 8612
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:25 +0800] "GET /myblog/jsp/back/back_journal_release.jsp HTTP/1.1" 200 12819
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:25 +0800] "GET /myblog/jsp/back/css/datepicker.fixes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:25 +0800] "GET /myblog/jsp/back/vendors/chosen.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:25 +0800] "GET /myblog/jsp/back/vendors/uniform/jquery.uniform.min.js HTTP/1.1" 404 1100
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:25 +0800] "GET /myblog/jsp/back/css/uniform.default.fixes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:25 +0800] "GET /myblog/jsp/back/vendors/uniform/themes/default/css/uniform.default.min.css HTTP/1.1" 404 1142
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:25 +0800] "GET /myblog/jsp/back/vendors/chosen.jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:25 +0800] "GET /myblog/jsp/back/vendors/bootstrap-datepicker/css/datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:25 +0800] "GET /myblog/jsp/back/vendors/bootstrap-datepicker/js/bootstrap-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:25 +0800] "GET /myblog/jsp/back/vendors/twitter-bootstrap-wizard/jquery.bootstrap.wizard-for.bootstrap3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:25 +0800] "GET /myblog/jsp/back/vendors/boostrap3-typeahead/bootstrap3-typeahead.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:25 +0800] "GET /myblog/jsp/back/vendors/bootstrap-wysihtml5-rails-b3/vendor/assets/javascripts/bootstrap-wysihtml5/wysihtml5.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:25 +0800] "GET /myblog/jsp/back/vendors/bootstrap-wysihtml5-rails-b3/vendor/assets/stylesheets/bootstrap-wysihtml5/core-b3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:25 +0800] "GET /myblog/jsp/back/vendors/bootstrap-wysihtml5-rails-b3/vendor/assets/javascripts/bootstrap-wysihtml5/core-b3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:32 +0800] "POST /myblog/ReleaseJournal HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:32 +0800] "GET /myblog/jsp/back/back_journal_admin.jsp HTTP/1.1" 200 10186
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:34 +0800] "GET /myblog/JournalEditOrDelete?id=3&do=edit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:34 +0800] "GET /myblog/jsp/back/back_journal_edit.jsp?id=3 HTTP/1.1" 200 12074
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:39 +0800] "POST /myblog/EditJournalRelease HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:39 +0800] "GET /myblog/jsp/back/back_journal_admin.jsp HTTP/1.1" 200 10187
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:40 +0800] "GET /myblog/jsp/back/back_journal_release.jsp HTTP/1.1" 200 12819
0:0:0:0:0:0:0:1 - - [18/Oct/2015:11:34:40 +0800] "GET /myblog/jsp/back/vendors/uniform/themes/default/css/uniform.default.min.css HTTP/1.1" 404 1142
