127.0.0.1 - - [17/Nov/2015:23:08:10 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:12 +0800] "GET /myblog/jsp/update/update.jsp HTTP/1.1" 200 5096
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:12 +0800] "GET /myblog/jsp/update/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:12 +0800] "GET /myblog/jsp/update/js/jquery-1.2.6.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:12 +0800] "GET /myblog/jsp/update/js/snowfall.jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:12 +0800] "GET /myblog/jsp/update/images/img1.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:12 +0800] "GET /myblog/jsp/update/images/img10.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:13 +0800] "GET /myblog/jsp/update/images/huaban.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:13 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:15 +0800] "GET /myblog/jsp/login/login.jsp HTTP/1.1" 200 3914
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:15 +0800] "GET /myblog/jsp/login/css/supersized.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:15 +0800] "GET /myblog/jsp/login/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:15 +0800] "GET /myblog/jsp/login/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:15 +0800] "GET /myblog/jsp/login/js/supersized-init.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:15 +0800] "GET /myblog/jsp/login/js/supersized.3.2.7.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:15 +0800] "GET /myblog/jsp/login/img/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:15 +0800] "GET /myblog/jsp/login/img/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:15 +0800] "GET /myblog/jsp/login/img/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:15 +0800] "GET /myblog/jsp/login/img/progress.gif HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:17 +0800] "POST /myblog/LoginDo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:17 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 5600
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:17 +0800] "GET /myblog/jsp/nav/css/news.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:17 +0800] "GET /myblog/image/journalheader/default.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:17 +0800] "GET /myblog/jsp/nav/css/nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:17 +0800] "GET /myblog/jsp/nav/img/newsbg02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:17 +0800] "GET /myblog/jsp/nav/img/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:17 +0800] "GET /myblog/jsp/nav/img/newsbg01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:17 +0800] "GET /myblog/jsp/nav/img/newsbg04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:17 +0800] "GET /myblog/jsp/nav/img/newsbg03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:18 +0800] "GET /myblog/jsp/back/back_login.jsp HTTP/1.1" 200 3600
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:18 +0800] "GET /myblog/jsp/back/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:18 +0800] "GET /myblog/jsp/back/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2015:23:08:18 +0800] "GET /myblog/jsp/back/css/bootstrap-admin-theme.css HTTP/1.1" 304 -
