127.0.0.1 - - [09/Nov/2015:21:32:39 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:32:59 +0800] "GET /myblog/jsp/Journal/Journal.jsp HTTP/1.1" 200 15607
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:00 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:24 +0800] "GET /myblog/jsp/Journal/Journal.jsp HTTP/1.1" 200 15591
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:24 +0800] "GET /myblog/image/journalheader/default.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:24 +0800] "GET /myblog/jsp/Journal/css/component.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:24 +0800] "GET /myblog/jsp/Journal/css/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:24 +0800] "GET /myblog/jsp/Journal/js/modernizr.custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:24 +0800] "GET /myblog/jsp/Journal/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:24 +0800] "GET /myblog/jsp/Journal/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:24 +0800] "GET /myblog/jsp/Journal/js/masonry.pkgd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:24 +0800] "GET /myblog/jsp/Journal/js/imagesloaded.pkgd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:24 +0800] "GET /myblog/jsp/Journal/js/gridScrollFx.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:24 +0800] "GET /myblog/jsp/Journal/js/classie.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:24 +0800] "GET /myblog/jsp/Journal/js/colorfinder-1.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:26 +0800] "GET /myblog/jsp/Journal/Journal.jsp?cfy=7 HTTP/1.1" 200 15423
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:27 +0800] "GET /myblog/jsp/Journal/Journal.jsp?cfy=8 HTTP/1.1" 200 15423
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:28 +0800] "GET /myblog/jsp/Journal/Journal.jsp?cfy=7 HTTP/1.1" 200 15423
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:28 +0800] "GET /myblog/jsp/Journal/Journal.jsp?cfy=7 HTTP/1.1" 200 15423
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:29 +0800] "GET /myblog/jsp/Journal/Journal.jsp?cfy=6 HTTP/1.1" 200 15423
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:29 +0800] "GET /myblog/jsp/Journal/Journal.jsp?cfy=5 HTTP/1.1" 200 15423
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:30 +0800] "GET /myblog/jsp/Journal/Journal.jsp?cfy=5 HTTP/1.1" 200 15423
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:31 +0800] "GET /myblog/jsp/Journal/Journal.jsp?cfy=6 HTTP/1.1" 200 15423
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:32 +0800] "GET /myblog/jsp/Journal/Journal.jsp?cfy=1 HTTP/1.1" 200 15591
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:34 +0800] "GET /myblog/jsp/Journal/Journal.jsp?cfy=6 HTTP/1.1" 200 15423
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:35 +0800] "GET /myblog/jsp/Journal/Journal.jsp?cfy=7 HTTP/1.1" 200 15423
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:35 +0800] "GET /myblog/jsp/Journal/Journal.jsp?cfy=8 HTTP/1.1" 200 15423
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:36 +0800] "GET /myblog/jsp/Journal/Journal.jsp?cfy=5 HTTP/1.1" 200 15423
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:33:37 +0800] "GET /myblog/jsp/Journal/Journal.jsp?cfy=1 HTTP/1.1" 200 15591
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:42:45 +0800] "GET /myblog/jsp/Journal/Journal.jsp HTTP/1.1" 200 15591
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:42:49 +0800] "GET /myblog/jsp/login/login.jsp HTTP/1.1" 200 3914
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:42:49 +0800] "GET /myblog/jsp/login/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:42:49 +0800] "GET /myblog/jsp/login/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:42:49 +0800] "GET /myblog/jsp/login/css/supersized.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:42:49 +0800] "GET /myblog/jsp/login/js/supersized-init.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2015:21:42:49 +0800] "GET /myblog/jsp/login/js/supersized.3.2.7.min.js HTTP/1.1" 304 -
