127.0.0.1 - - [16/Oct/2015:11:30:50 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Oct/2015:11:31:07 +0800] "GET /myblog/jsp/back/back_about.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:11:31:07 +0800] "GET /myblog/jsp/nopower.jsp HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [16/Oct/2015:11:31:07 +0800] "GET /myblog/jsp/css/bootstrap.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [16/Oct/2015:11:31:07 +0800] "GET /myblog/jsp/css/bootstrap-admin-theme.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Oct/2015:11:31:07 +0800] "GET /myblog/jsp/js/bootstrap.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [16/Oct/2015:11:31:07 +0800] "GET /myblog/jsp/css/bootstrap-theme.min.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [16/Oct/2015:11:31:08 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Oct/2015:11:31:19 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 7721
0:0:0:0:0:0:0:1 - - [16/Oct/2015:11:31:19 +0800] "GET /myblog/jsp/nav/css/nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:11:31:19 +0800] "GET /myblog/image/journalheader/9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:11:31:19 +0800] "GET /myblog/jsp/nav/css/news.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:11:31:19 +0800] "GET /myblog/image/journalheader/default.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2015:11:31:19 +0800] "GET /myblog/image/journalheader/6.jpg HTTP/1.1" 304 -
