127.0.0.1 - - [17/Oct/2015:13:37:37 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Oct/2015:13:37:54 +0800] "GET /myblog/jsp/prompt/prompt.html HTTP/1.1" 200 4059
0:0:0:0:0:0:0:1 - - [17/Oct/2015:13:37:54 +0800] "GET /myblog/jsp/prompt/css/default.css HTTP/1.1" 200 3101
0:0:0:0:0:0:0:1 - - [17/Oct/2015:13:37:54 +0800] "GET /myblog/jsp/prompt/css/images/img9.gif HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Oct/2015:13:37:54 +0800] "GET /myblog/jsp/prompt/css/images/img10.gif HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [17/Oct/2015:13:37:54 +0800] "GET /myblog/jsp/prompt/css/images/img1.gif HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Oct/2015:13:37:54 +0800] "GET /myblog/jsp/prompt/css/images/img8.gif HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Oct/2015:13:37:54 +0800] "GET /myblog/jsp/prompt/css/images/img2.gif HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Oct/2015:13:37:54 +0800] "GET /myblog/jsp/prompt/css/images/img3.gif HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Oct/2015:13:37:54 +0800] "GET /myblog/jsp/prompt/css/images/img5.gif HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Oct/2015:13:37:54 +0800] "GET /myblog/jsp/prompt/css/images/img6.gif HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Oct/2015:13:37:54 +0800] "GET /myblog/jsp/prompt/css/images/img4.gif HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Oct/2015:13:37:54 +0800] "GET /myblog/jsp/prompt/css/images/img7.gif HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [17/Oct/2015:13:37:54 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/Oct/2015:13:54:53 +0800] "GET /myblog/jsp/prompt/prompt.html HTTP/1.1" 200 4055
0:0:0:0:0:0:0:1 - - [17/Oct/2015:13:54:53 +0800] "GET /myblog/jsp/prompt/default.css HTTP/1.1" 200 3101
0:0:0:0:0:0:0:1 - - [17/Oct/2015:13:54:53 +0800] "GET /myblog/jsp/prompt/images/img1.gif HTTP/1.1" 200 3888
0:0:0:0:0:0:0:1 - - [17/Oct/2015:13:54:53 +0800] "GET /myblog/jsp/prompt/images/img6.gif HTTP/1.1" 200 5472
