127.0.0.1 - - [14/Oct/2015:19:36:31 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:50 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 7721
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:51 +0800] "GET /myblog/jsp/nav/css/nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:51 +0800] "GET /myblog/jsp/nav/css/news.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:51 +0800] "GET /myblog/image/journalheader/9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:51 +0800] "GET /myblog/image/journalheader/default.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:51 +0800] "GET /myblog/image/journalheader/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:51 +0800] "GET /myblog/jsp/nav/img/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:51 +0800] "GET /myblog/jsp/nav/img/newsbg02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:51 +0800] "GET /myblog/jsp/nav/img/newsbg04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:51 +0800] "GET /myblog/jsp/nav/img/newsbg03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:51 +0800] "GET /myblog/jsp/nav/img/newsbg01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:51 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:54 +0800] "GET /myblog/jsp//login/login.jsp HTTP/1.1" 200 3839
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:54 +0800] "GET /myblog/jsp//login/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:54 +0800] "GET /myblog/jsp//login/css/supersized.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:54 +0800] "GET /myblog/jsp//login/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:54 +0800] "GET /myblog/jsp//login/js/supersized.3.2.7.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:54 +0800] "GET /myblog/jsp//login/js/supersized-init.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:54 +0800] "GET /myblog/jsp//login/img/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:54 +0800] "GET /myblog/jsp//login/img/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:54 +0800] "GET /myblog/jsp//login/img/progress.gif HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:54 +0800] "GET /myblog/jsp//login/img/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:55 +0800] "POST /myblog/LoginDo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Oct/2015:19:36:55 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 7709
