127.0.0.1 - - [18/Nov/2015:18:09:54 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Nov/2015:18:09:54 +0800] "GET /myblog/jsp/nav/index.jsp HTTP/1.1" 200 7103
0:0:0:0:0:0:0:1 - - [18/Nov/2015:18:09:55 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/Nov/2015:18:09:58 +0800] "GET /myblog/jsp/Journal/Journal.jsp HTTP/1.1" 200 17154
0:0:0:0:0:0:0:1 - - [18/Nov/2015:18:10:02 +0800] "GET /myblog/jsp/Journal/journal_each.jsp?id=23 HTTP/1.1" 200 5485
0:0:0:0:0:0:0:1 - - [18/Nov/2015:18:10:02 +0800] "GET /myblog/jsp/Journal/js/showdown.min.js HTTP/1.1" 200 25662
0:0:0:0:0:0:0:1 - - [18/Nov/2015:18:10:06 +0800] "GET /myblog/jsp/Journal/Journal.jsp HTTP/1.1" 200 17154
0:0:0:0:0:0:0:1 - - [18/Nov/2015:18:10:08 +0800] "GET /myblog/jsp/Journal/journal_each.jsp?id=26 HTTP/1.1" 200 5435
0:0:0:0:0:0:0:1 - - [18/Nov/2015:18:10:10 +0800] "GET /myblog/jsp/Journal/Journal.jsp HTTP/1.1" 200 17154
0:0:0:0:0:0:0:1 - - [18/Nov/2015:18:12:20 +0800] "GET /myblog/jsp/Journal/journal_each.jsp?id=26 HTTP/1.1" 200 5441
0:0:0:0:0:0:0:1 - - [18/Nov/2015:18:12:20 +0800] "GET /myblog/jsp/Journal/js/showdown.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2015:18:12:23 +0800] "GET /myblog/jsp/Journal/js/showdown.min.js.map HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/Nov/2015:18:13:44 +0800] "GET /myblog/jsp/Journal/journal_each.jsp?id=26 HTTP/1.1" 200 5448
0:0:0:0:0:0:0:1 - - [18/Nov/2015:18:13:44 +0800] "GET /myblog/jsp/Journal/css/journal_each.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2015:18:13:44 +0800] "GET /myblog/jsp/Journal/css/wangEditor-1.1.0-min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2015:18:13:44 +0800] "GET /myblog/jsp/Journal/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2015:18:13:44 +0800] "GET /myblog/jsp/Journal/js/wangEditor-1.1.0-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Nov/2015:18:13:44 +0800] "GET /myblog/jsp/Journal/js/jquery-1.10.2.min.js HTTP/1.1" 304 -
